family,model,k,set_type,acc_ioi,mean_diff_ioi,acc_anti,mean_diff_anti
gpt2,gpt2-large,0,baseline,0.4799999892711639,2.182330369949341,0.2000000029802322,1.0280792713165283
gpt2,gpt2-large,2,hero,0.4799999892711639,2.0372841358184814,0.1800000071525573,0.9390509128570556
gpt2,gpt2-large,2,random,0.4799999892711639,2.170823017756144,0.19333333770434058,1.0241857767105103
gpt2,gpt2-large,3,hero,0.4799999892711639,1.912914752960205,0.1700000017881393,0.8704635500907898
gpt2,gpt2-large,3,random,0.4799999892711639,2.19513471921285,0.2000000029802322,1.0029029647509258
gpt2,gpt2-large,8,random,0.4799999892711639,2.162562529246012,0.20999999841054282,1.0245127081871033
