family,model,layer,head,delta_ioi,delta_anti,abs_delta_ioi,abs_delta_anti,strength,category
pythia,pythia-70m,10,3,0.0,-0.0501511096954345,0.0,0.0501511096954345,0.0501511096954345,anti_only
pythia,pythia-70m,10,4,0.0,-0.1185479760169982,0.0,0.1185479760169982,0.1185479760169982,anti_only
pythia,pythia-70m,10,5,0.0,-0.0485670566558837,0.0,0.0485670566558837,0.0485670566558837,weak
pythia,pythia-70m,10,6,0.0,-0.0758398175239563,0.0,0.0758398175239563,0.0758398175239563,anti_only
pythia,pythia-70m,10,7,0.0,-0.0493994355201721,0.0,0.0493994355201721,0.0493994355201721,weak
pythia,pythia-70m,11,0,0.0,-0.0603016018867492,0.0,0.0603016018867492,0.0603016018867492,anti_only
pythia,pythia-70m,11,3,0.0,-0.0461631417274475,0.0,0.0461631417274475,0.0461631417274475,weak
pythia,pythia-70m,11,7,0.0,-0.1855682730674743,0.0,0.1855682730674743,0.1855682730674743,anti_only
pythia,pythia-70m,12,1,0.0,-0.0504066944122314,0.0,0.0504066944122314,0.0504066944122314,anti_only
pythia,pythia-70m,12,5,0.0,-0.1833739876747131,0.0,0.1833739876747131,0.1833739876747131,anti_only
pythia,pythia-160m,0,0,-1.4348183870315552,0.0,1.4348183870315552,0.0,1.4348183870315552,ioi_only
pythia,pythia-160m,0,1,-0.2275344133377075,0.0,0.2275344133377075,0.0,0.2275344133377075,ioi_only
pythia,pythia-160m,0,2,-0.8137136697769165,0.0,0.8137136697769165,0.0,0.8137136697769165,ioi_only
pythia,pythia-160m,0,3,-1.0505050420761108,0.0,1.0505050420761108,0.0,1.0505050420761108,ioi_only
pythia,pythia-160m,0,4,0.0,-0.3513792157173157,0.0,0.3513792157173157,0.3513792157173157,anti_only
pythia,pythia-160m,0,5,-0.3447052240371704,-0.1476923823356628,0.3447052240371704,0.1476923823356628,0.4923976063728332,shared
pythia,pythia-160m,0,8,-0.6634434461593628,0.0,0.6634434461593628,0.0,0.6634434461593628,ioi_only
pythia,pythia-160m,1,0,-0.2315515279769897,-0.1724777817726135,0.2315515279769897,0.1724777817726135,0.40402930974960316,shared
pythia,pythia-160m,1,2,0.0,-0.0746189951896667,0.0,0.0746189951896667,0.0746189951896667,anti_only
pythia,pythia-160m,1,6,-0.4594606161117553,0.0,0.4594606161117553,0.0,0.4594606161117553,ioi_only
pythia,pythia-160m,1,8,-0.3032552003860473,0.0,0.3032552003860473,0.0,0.3032552003860473,ioi_only
pythia,pythia-160m,1,9,-1.430188775062561,0.0,1.430188775062561,0.0,1.430188775062561,ioi_only
pythia,pythia-160m,2,0,-0.3407777547836303,0.0,0.3407777547836303,0.0,0.3407777547836303,ioi_only
pythia,pythia-160m,2,1,-0.3408631086349487,0.0,0.3408631086349487,0.0,0.3408631086349487,ioi_only
pythia,pythia-160m,2,4,-0.6334210634231567,-0.0895041227340698,0.6334210634231567,0.0895041227340698,0.7229251861572266,shared
pythia,pythia-160m,2,5,0.0,-0.4707749485969543,0.0,0.4707749485969543,0.4707749485969543,anti_only
pythia,pythia-160m,2,6,-1.055655837059021,0.0,1.055655837059021,0.0,1.055655837059021,ioi_only
pythia,pythia-160m,2,7,-0.1368194818496704,0.0,0.1368194818496704,0.0,0.1368194818496704,ioi_only
pythia,pythia-160m,2,8,-0.1354310512542724,0.0,0.1354310512542724,0.0,0.1354310512542724,ioi_only
pythia,pythia-160m,2,9,-0.1023212671279907,0.0,0.1023212671279907,0.0,0.1023212671279907,ioi_only
pythia,pythia-160m,2,11,-1.0247987508773804,0.0,1.0247987508773804,0.0,1.0247987508773804,ioi_only
pythia,pythia-160m,3,0,-1.8286436796188352,0.0,1.8286436796188352,0.0,1.8286436796188352,ioi_only
pythia,pythia-160m,3,4,-0.6635006666183472,-0.1482321619987487,0.6635006666183472,0.1482321619987487,0.8117328286170958,shared
pythia,pythia-160m,3,5,0.0,-0.5574000477790833,0.0,0.5574000477790833,0.5574000477790833,anti_only
