group,n,mean_abs_delta_tokens,mean_abs_ioi_diff,pearson_r,pearson_p,spearman_rho,spearman_p
all,20,0.1,1.7107808850313488,0.8382898768230518,3.930569088763e-06,0.8090225563909773,1.5678260081933232e-05
matched,18,0.0,1.4144132137298584,0.9065583044823281,2.1723587335714156e-07,0.7667698658410733,0.00020535416507779902
mismatched,2,1.0,4.378089926744762,1.0,1.0,0.9999999999999999,
