family,model,n_anti_only,n_ioi_only,n_shared,n_weak,frac_anti_only,frac_ioi_only,frac_shared,frac_weak
gpt-neo,gpt-neo-125M,3.0,3.0,17.0,0.0,0.13043478260869565,0.13043478260869565,0.7391304347826086,0.0
gpt2,gpt2,10.0,2.0,3.0,47.0,0.16129032258064516,0.03225806451612903,0.04838709677419355,0.7580645161290323
gpt2,gpt2-large,0.0,0.0,4.0,52.0,0.0,0.0,0.07142857142857142,0.9285714285714286
gpt2,gpt2-medium,4.0,0.0,0.0,56.0,0.06666666666666667,0.0,0.0,0.9333333333333333
opt,opt-125m,9.0,9.0,11.0,0.0,0.3103448275862069,0.3103448275862069,0.3793103448275862,0.0
pythia,pythia-160m,29.0,34.0,6.0,5.0,0.3918918918918919,0.4594594594594595,0.08108108108108109,0.06756756756756757
pythia,pythia-1b,15.0,20.0,20.0,5.0,0.25,0.3333333333333333,0.3333333333333333,0.08333333333333333
pythia,pythia-410m,27.0,32.0,8.0,2.0,0.391304347826087,0.463768115942029,0.11594202898550725,0.028985507246376812
pythia,pythia-70m,27.0,12.0,8.0,16.0,0.42857142857142855,0.19047619047619047,0.12698412698412698,0.25396825396825395
